id	anchor	contract	remainingAcceptance
SK01	S/keybindings/definitions.ts:18	Reuse accepted 88 static and 36 agent-generated definitions; plugin identities are open-ended, syntax-validated and at most 400 characters. Non-darwin/non-win32 platform maps to linux catalog.	For every accepted static/agent row verify selected-platform defaults; reject malformed plugin ids and preserve valid uninstalled plugin overrides without inventing finite plugin total.
SK02	M/startup/main-process-account-services.ts:115	Legacy GlobalSettings.keybindings getter is called at every service construction, before migrateLegacyKeybindings checks file existence. Existing file wins; absent file plus nonempty legacy input writes active-platform section.	Run original migration tests unchanged; add startup integration test proving legacy getter wiring, existing-file precedence and repeated construction without re-migration.
SK03	M/keybindings/keybinding-file.ts:57	Read supports legacy root-level and common keybindings sections, then active-platform override; null/false in file means disabled empty list. Invalid values produce diagnostics; malformed unreadable file is preserved on attempted write.	Verify common/platform precedence, null/false/empty disable, unknown keys, bad values, diagnostics and unreadable-file preservation using real temporary files.
SK04	M/keybindings/keybinding-file.ts:216	Settings writes only active-platform section; API null removes mask and exposes common value, while [] disables action. Normalize and reject conflicts; preserve unrelated platforms and document keys.	Preserve reset-only-active-platform test, distinguish file-null from API-null, test empty array disable and foreign-platform survival.
SK05	M/keybindings/keybinding-file-parser.ts:57	Dedicated keybinding writer uses writeFileSync to .tmp then renameSync and cleanup-on-error; it does not call durable-file-write or fsync. SP13 low-level passing receipt cannot prove keybinding-file crash durability.	Record source baseline for write/rename errors and preserved original document; if rewrite strengthens durability, test it explicitly without attributing that guarantee to source.
SK06	S/keybindings/normalization.ts:9	Normalization rejects Mod combined with meta/control, requires modifiers except explicit safe-bare/shift-only permissions and Shift+Insert, canonicalizes double taps and digit-index chords, and deduplicates lists.	Port normalization/action-permission cases unchanged; verify unsafe bare letters rejected, allowed F/navigation keys, shift-only input-source row and representative digits 1-9.
SK07	S/keybindings/matching-key.ts:12	Mod means meta on darwin and control elsewhere; exact modifier equality. Logical letters/digits/punctuation win; physical fallback is restricted to dead/unidentified, non-Latin primary-modifier and macOS Option-composed cases; protect AltGr text input.	Run layout suite plus actual macOS/Windows/Linux keyboard events: non-QWERTY logical remaps, Cyrillic/Greek, AltGr, JIS brackets, Option-composed keys and numpad zoom.
SK08	S/keybindings/effective.ts:84	Terminal context defaults orca-first; terminal-first allows terminal scope or allowInTerminal. Empty overrides disable defaults and invalid override strings are filtered; matching requires known static/dynamic core definition.	Compare both policies across terminal/global/editor/menu scopes and explicit overrides, including scope-only metadata versus actual handler return value.
SK09	S/keybindings/formatting.ts:138	Conflict identity expands platform modifiers and digit-index family, partitions by conflictGroup and scope, and reports collisions involving customized/relevant actions. Parser may discard conflicting custom overrides over bounded iterations.	Port conflict tests; verify two-scope/menu overlap, 1-9 collisions, ignored disabled agents and plugin default collisions marked relevant in catalog.
SK10	R/lib/agent-tab-shortcuts.ts:21	Only enabled agent rows with nonempty user override are dispatch candidates; default new-agent-tab resolves detected/enabled preferred agent then auto-pick. Blank workspace default does not mean explicit new-agent chord must do nothing.	Port agent-tab shortcut tests; verify disabled binding becomes inert and re-enable restores it, detected-agent fallback and no eligible installed agent.
SK11	R/lib/plugin-command-keybindings.ts:56	Plugin commands become runtime definitions; worktree-context command requires active worktree, first matching eligible command wins. Global app listener gives plugins precedence only in app focus; terminal/editor/browser retain authority.	Test dynamic plugin install/disable/consent changes, worktree absence, user overrides and collisions under app/editor/terminal/browser focus using real plugin registry where required.
SK12	R/app-shell/use-global-keybindings.ts:110	Renderer reads committed state through layout-effect ref; skips prevented events, active recorder and repeat; preserves editable/floating-terminal ownership, special search selection and empty floating close behavior. Double tap resets on blur.	Test recorder suppression, editable bold, floating empty close/maximize, selected explorer folder search, plugin precedence, repeat/blur and stale-state updates without listener remount.
SK13	M/window/main-window-shortcut-routing.ts:119	Main before-input routes explicit allowlist for guest focus; recorder yields, dev F12 special-case, mac paste ownership, recent-tab held interaction yields keyup, Markdown bold yields. Dictation consumes only enabled/model-selected toggle mode, hold mode stays renderer-owned.	Port main-window/guest shortcut tests and real Electron focus transitions; confirm no double dispatch, repeat behavior, modifier release commit, browser guest forwarding, hold dictation keyup and native zoom respects unbinding.
SK14	S/macos-symbolic-hotkeys.ts:74	Mission Control digit hotkeys 118-126 require enabled standard 3-parameter entries and supported masks; physical keycodes resolve through current layout before conflict display. This is dynamic OS data, not static catalog metadata.	Port symbolic-hotkey/layout tests; on macOS probe actual user layout/hotkeys read-only and verify warnings without changing preferences or treating an empty probe as no OS conflict.
SK15	R/lib/keyboard-layout/use-effective-mac-option-as-alt.ts:28	Auto Option-as-Alt subscribes to layout probe; US fingerprint enables Alt, non-US/unknown preserves composition, and explicit true/false/left/right wins. JIS Yen mapping is a separate setting.	Port probe/detection/input-source tests and actual layout switching; verify unknown API fallback, mid-session re-probe, sided Option keys and JIS input/composition.
SK16	M/keybindings/keybinding-service.ts:64	Service snapshot is cached until explicit reload or service mutation; existing invalid file still prevents legacy migration. IPC change broadcasts rebuild native menu, while direct disk edits are not automatically observed by these service methods alone.	Test cached snapshot versus external disk edit then explicit reload, invalid existing file with valid legacy input, cross-window keybindings:changed publication and native menu update.
