field	anchor	contract
workspaceDir	S/worktree/ownership.ts:40	Workspace ownership includes configured layout; relative paths resolve against repository path. Layout changes preserve earlier roots through workspaceDirHistory.
worktreeVisibilityDefaults	R/store/worktree-visibility-defaults-by-host.ts:18	Local defaults may fall back to settings; remote defaults are indexed by owner and never use client defaults when missing. SP07 governs split writes and failure.
hostSettingOverrides	S/host-setting-overrides.ts:35	Client host-id map supports trimmed displayLabel/defaultWorktreeLocation overrides; empty removes override and effective value falls back to client default (SP08).
nestWorkspaces	S/worktree/ownership.ts:38	Each workspace layout retains its nesting mode; current and historical layouts participate in ownership and scans.
workspaceDirHistory	M/persistence/applying-settings/terminal-settings-migrations.ts:35	Append previous layout only on directory/nesting change and deduplicate by layout identity; ownership searches historical layouts, including WSL historical nesting modes.
refreshLocalBaseRefOnWorktreeCreate	M/ipc/worktree-remote.ts:2052	Refresh local base from tracking ref on eligible new worktree creation; existing-branch checkout does not refresh. Local and SSH implementations both consult it.
localBaseRefSuggestionDismissed	M/runtime/runtime-local-git-worktree-create.ts:136	Suppress local-base-update suggestion independently of whether automatic refresh is enabled; SSH path uses the same two-flag distinction.
autoRenameBranchFromWork	M/agent-hooks/first-work-branch-rename.ts:103	First-work rename exits when disabled; migration defaults old unstamped profiles on while stamped explicit false survives.
autoRenameBranchFromWorkDefaultedOn	S/auto-rename-branch-from-work-settings.ts:13	Rollout stamp distinguishes inherited false from later opt-out; explicit live update forces stamp true.
branchPrefix	S/branch-prefix.ts:18	Select git username, custom prefix or no prefix; invalid inferred username may be skipped, whereas invalid custom prefix fails validation.
branchPrefixCustom	S/branch-prefix.ts:22	Custom mode returns configured prefix with null fallback; Git settings retains a local editing draft to avoid delayed echoes overwriting typing.
theme	S/terminal-color-scheme-protocol.ts:18	System follows current system dark preference; explicit light/dark wins. App document and terminal appearance consume the preference separately.
leftSidebarAppearanceMode	R/lib/left-sidebar-appearance.ts:123	Default returns no surface override; match-terminal derives terminal colors, and tint mode derives sidebar tint independently.
leftSidebarTintColor	R/lib/left-sidebar-appearance.ts:109	Normalize tint color before composing CSS color-mix for sidebar background.
leftSidebarTintOpacity	R/lib/left-sidebar-appearance.ts:110	Normalize tint strength and convert to percentage for sidebar color-mix.
uiLanguage	M/ipc/settings.ts:252	Normalized language changes update main language and rebuild menu; renderer I18nProvider resolves system/plugin language state separately.
appIcon	M/ipc/settings.ts:266	Normalized live icon changes call applyAppIcon; window creation and tray icon construction also use this setting.
